report,datetime,coords,Did you follow the GTOA protocol (drop sails\ stop boat\ engine off and keep a low profile) and how long did the interaction continue?,Boat Type,Boat length (metres),Were you towing an inflatable and if so did the orcas interact with it before interacting with the boat?,Were you trailing a fishing lure when the interaction commenced?,During the Interaction did one or more orcas make physical contact with the boat?,Number of adult orcas seen,Rudder,Motoring or sailing,Speed (knots),Sea state,Wind speed (Beaufort),Darkness or daylight,Cloud cover,Distance off land (nautical miles),Depth (metres),Depth gauge,Autopilot,Hull topsides colour,Antifoul colour,Was the boat damaged and in need of repair?,Was a tow required?,Response by crew,Behaviour of orcas,Stage of day,Moon,Tide,Number of juvenile orcas seen,Did you manage to reverse before the orca hit the boat?,Did the orca hit the rudder?,Did the orca hit the bow?,Did any method stop the orca hitting the rudder? (Tick any method that worked),Did they return?,Number of orcas\ uncertain of age\ seen,How did you reverse? (Tick any method you tried),How long did you reverse for?,If you reversed in a circle did the orcas hit the rudder by coming from,Did the orca leave the area when you reversed?,Please describe the behaviour of the orca before and during reversing,When they returned were you
Report ID: Inter95,2022-05-02 11:37:00,36 2.4690 N\ 5 55.4080 W,Yes\ followed protocol\ interaction lasted more than 60 minutes,Sail,10 - 12.5m,Not towing,,,,Twin rudder,Motoring,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,0 - 25%,,,On,On,White/light,Black,Yes\ extensive - major works required,,We were motoring off the southern Spanish coast\ heading towards Gibraltar\ when we were attacked by a pod of six or seven orcas\ not far from Barbate. We followed the official guidance\ switching off all systems and engines and calling Tarifa Traffic to let them know what was happening. We then waited for the orcas to get bored and depart. The attack lasted approximately an hour\ during which time we took no action whatsoever other than to try to capture some of it on video. Unfortunately they completely disabled the steering system of the boat. Both rudders dropped and much of the internal steering mechanism was bent or broken. In the aftermath\ unable to make way under our own steam and drifting fast towards the shipping lanes\ we called for assistance and awaited the coast guard who towed us in to Tarifa.,The orcas we clearly coordinated in their actions - at times taking it in turns (almost queuing up) to bump the boat\ and at others lining up alongside each other and pushing us along. I have a catamaran which has sail drives astern of the rudders. Notwithstanding the fact that the engines were off and the props stationary\ the orcas were clearly being very careful to avoid the sail drives in trying to get to the rudders. There was no question that the rudders were their targets. On a couple of occasions they almost got the dinghy (hanging on davits) with tail slaps\ but I didn't get the impression that they were specifically trying to get it. I will upload a compilation of video clips I shot during the encounter\ which shows some of what happened. What the video does not adequately represent though is the sheer force with which they were hitting the boat. Their behaviour was not playful - they were clearly intent on doing damage. I saw one calf in the group at the very start of the interaction\ but not thereafter.,daytime,waxing\2% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter94,2022-11-01 11:05:00,41 41.0000 N\ 9 8.0000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,Over 10,40 - 200m,On,Off,White/light,Blue,Yes\ extensive - major works required,No,Nous avons suivi le protocole conseillé\ l'interaction s'est prolongé mais nous ne pouvions pas tellement manoeuvrer car l'un des orques restait sans cesse cramponné au safran. Au bout de presque une heure une voie d'eau s'est ouverte à l'arrière du bateau et nous avons coulé./// We followed the recommended protocol\ the interaction continued but we couldn't maneuver much because one of the killer whales was constantly clinging to the rudder. After almost an hour a leak opened up behind the boat and we sank.,Les orques tournaient autour du bateau et venait tapper dans le safran. A tour de rôle ils agripaient le safran dans leurs gueule et le secouaient /// The killer whales circled around the boat and hit the rudder. They took turns grabbing the rudder blade in their mouths and shaking it.,daytime,waxing\52% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter93,2022-11-14 13:29:00,38 11.1971 N\ 9 4.4616 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Keel hung,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,Over 10,40 - 200m,Off,On,Dark colour,Red,Yes\ moderate - immediate repairs required,No,After the first hit the rudder was stuck in maximum lock. We went full throttle in circles forward for five minutes. The orca kept hitting. Then we went full throttle backwards in circles five minutes. The hits became less and the orca left. I don't know if this was because of going astern or because of realising our rudder is too hard,Playful\ not aggressive,daytime,waning\68% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter92,2022-11-12 08:50:00,44 0.6000 N\ 7 32.6000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,Over 10,40 - 200m,On,On,White/light,Black,Yes\ moderate - immediate repairs required,No,The interaction lasted 2 minutes. 2 or 3 big bangs at the rudder and it was gone. And orcas were gone too. Stopped motors but did not have the time to close genoa. Orcas were with many birds. Did not have time to make video,Not interested in us\ only broke rudder and went,daytime,waning\86% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter91,2022-03-13 10:03:00,36 53.0000 N\ 8 38.0000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,Over 10,40 - 200m,On,On,White/light,Other,No,No,At first we saw a pod of 5-8 orca 200 m off the starboard travelling in the opposite direction. Then 2 mins later 2 orca following the main pod turned and approached the boat from behind. The smaller one grabbed the rudder and then the big adult one did the same. We increased the engine revs and they swam away back toward the main pod. I have a video if you would like.,,daytime,waxing\77% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter90,2022-10-27 07:30:00,38 23.0000 N\ 9 16.0000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Keel hung,Sailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Dawn,75 - 100%,2 - 5,200m+,On,On,White/light,Coppercoat,No,No,As we have a keel hung rudder made of inox (stainless steel) and a long keeled sailing boat (Colin Archer) made of concrete (20 ton) we had an idea how to act in case of an interaction. On our boat the propeller is located very close to the rudder. Therefore we started the engine and went by motor (motorsailing) when we saw the 3-4 orcas coming. Just before we got the engine and propeller running - we heard a ”bang” from the rudder when it got hit by an orca. After a few seconds a second hit on the rudder came. At this point the captain onboard started to pour fine-grained sand (from beach) on the top of our rudder. Now We had both the propeller running and sand to disturb the orcas with. We then saw two orcas leaving (they were 3-4 when they came) and no more interaction/hit was made after this. We kept an eye over the sea but couldn’t see them anymore. Total time we had them around us was maybe 2 minutes. No damage that we know about (will take the boat up on the hard tomorrow). All the time we had the autopilot connected\ no damage to that either. For us it seems the orcas lost interest very quickly. It might have been because of; 1. The rudder was huge and made of stainless steel 2. Our big propeller was running very close to the rudder (30 cm) 3. We poured sand over our rudder and maybe the orcas didn’t like this. It seemed they stayed away when we did this (we did not throw sand on them\ we just poured sand on our rudder and let the sand drop into the sea. We do not want to harm them ). We can not for sure say why they so quick lost the interest\ But we believe it could have been 1 or 2 or maybe all three reasons as we described above. Best regards,See above.,dawn twilight,waxing\4% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter89,2022-10-18 08:15:00,43 47.609 N\ 7 45.257 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Sailing,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,40 - 200m,Off,On,White/light,Black,Yes\ moderate - immediate repairs required,Yes,Interaction d'une heure\ a partir de 8h20 UTC. Dès que nous avons vu les orques avant l'interaction nous avons affalé l a gv eteind le moteur et appeler la sécurité. Les orques sont direct allées sur le safran elles ont cassé le bout du safran et la barre à roue. Nous n'avons pas allumé le moteur ni essayé de les dissuader. \\\ One-hour interaction\ starting at 8:20 UTC. As soon as we saw the killer whales before the interaction we lowered the mainsail\ turned off the engine and made a sécurité call. The killer whales went straight to the rudder and broke the tip of the rudder and the steering wheel. We didn't start the engine or try to talk them out of it.,Les orques étaient joueuses et savaient directement où elles voulaient taper. Ai début avec beaucoup de force puis après les premier Degas elle ont joué avec les débris du safran et ont été plus détendu. /// Orcs were playful and knew where they wanted to hit. I started with a lot of strength\ then after the first effort she played with the debris of the rudder and was more relaxed.,daytime,waning\44% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter88,2022-10-03 13:30:00,35 56.0000 N\ 5 43.0000 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Twin rudder,Motorsailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,,On,On,White/light,Black,Yes\ moderate - immediate repairs required,No,Attaque très rapide. 3 orques ont attaqué les safrans. L attaque a durée moins de 5 min Dès que j ai senti le premier impact d orque avec les safrans\ je me suis mis face au vent pour affaler la grand voile et le moteur Une fois les moteurs arrêté\ elles ont arrêté puis sont reste deux minutes autours du bateau \ avant de rejoindre un groupe de 6-7 orques 100m plus moins./// Very fast attack. 3 killer whales attacked the rudders. The attack lasted less than 5 min. As soon as I felt the first killer whale impact with the rudders\ I headed into the wind to lower the mainsail and stop the engine. Once the engines stopped\ they stopped then remained two minutes around the boat\ before joining a group of 6-7 killer whales less than 100m away.,Tout a été très rapide. Elles se sont concentrés sur les safrans et rien d autre Pas de saut\ pas de manifestation pour impressionner. Elles ont plie les mèches des deux safrans de notre catamaran./// Everything was very fast. They focused on the rudders and nothing else No jumping\ no demonstration to impress. They bent the stocks of the two rudders of our catamaran.,daytime,waxing\56% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter87,2022-10-14 15:40:00,37 4.2000 N\ 9 8.2000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Sailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,,Over 10,200m+,On,On,White/light,Black,No,No,Two Orcas observed about 50m from boat\ heading north west. We raised our hydrogenerator out of the water\ but otherwise took no action as they didn't return.,They swam past\ close by.,daytime,waning\78% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter86,2022-10-09 13:15:00,37 2.34 N\ 8 20.9380 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,Over 15m,Not towing,,,,Full skeg,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,2 - 5,20 - 40m,On,On,White/light,Red,No,No,2 orcas. 1 attacked the rudder 6 times. After 5 minuten they went away. After our event 10 orca spotters speedboats were chasing the orcas for the next hour!!! Absurd!!!!,1 orca waiting\ one attacking our rudder.,daytime,waxing\100% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter85,2022-10-09 19:20:00,37 0.0000 N\ 8 32.0000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Keel hung,Sailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Blue,Yes\ moderate - immediate repairs required,No,Noticed interaction because of sudden course correction of autopilot. We we’re all inside. First thought a (prevented) jibe happened as we were sailing downwind with preventer and boom. After third correction we concluded something else was happening and did: 1) disengaged the (electric) autopilot 2) stayed low on the cockpit\ after first sighting of orca’s (after three to five knocks against the rudder 3) started the engine and put it in forward gear to make the rudder less attractive. As we could not lower the sails (preventer and boom) during an ongoing interaction and reverse was not possible (no effect) 4) turned of the depth sounder. No further interactions/ orca’s did not return Total interaction took about five minutes. We (two adults two children) were not scared\ but the situation was kind of unreal,As we were inside (autopilot) we did not see orca’s coming\ nor did we hear them before the first knock against the rudder. We experienced 3 tot 5 knocks against the rudder\ before we realised something was not right. When the question arose “could it be orca’s” we first sighted them (3 to 4 orca’s) surfacing and breathing close to the aft end and (center) cockpit of the boat. They were very close to the boat (less than a meter). They submerged and pushed the rudder several times (in total about 10 to 15 times). After starting the engine one or two orca’s ‘hugged’ the hull underwater\ slightly lifting/ pushing the boat. Like scratching an itch on its back. We did not experience the interaction as ‘agressive’\ although the orca’s pushed hard against the rudder is appears to have been nose and fins/backs only. After disengaging the depth sounder they disappeared without surfacing. We never saw them leave,dusk twilight,waxing\100% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
